Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
118 ,21,0,0,3,49,13,12,10,29,41,26,39,64,19,46,40,412,77652
119 ,54,48,5,6,23,88,8,51,0,69,47,58,18,9,24,23,531,43589
120 ,9,0,0,0,10,31,0,11,0,4,19,52,21,11,16,25,209,86442
121 ,32,0,24,5,5,29,6,0,13,28,13,47,71,34,35,118,460,108611
122 ,7,0,12,6,13,13,6,6,0,28,54,29,50,29,35,99,387,106705
123 ,40,38,9,18,0,8,20,32,0,27,77,62,16,40,9,22,418,64200
124 ,7,9,13,60,17,0,29,8,33,16,74,50,0,18,0,55,389,60417
125 ,26,51,43,19,10,23,41,8,0,25,57,138,8,4,62,25,540,65341
126 ,0,20,0,0,0,15,0,0,0,0,29,28,23,0,55,89,259,163843
127 ,16,0,0,0,0,0,50,0,0,16,0,0,11,0,86,182,361,242582
128 ,0,28,43,0,0,0,0,33,0,0,51,27,80,16,64,53,395,103275
129 ,0,0,0,0,0,31,0,10,15,13,31,0,36,34,32,110,312,147941
130 ,15,0,0,0,0,15,21,14,0,15,17,0,40,31,31,25,224,110893
131 ,38,0,0,0,0,0,28,32,0,0,0,152,117,32,69,110,578,101455
132 ,0,0,15,0,0,0,0,0,18,15,61,72,0,18,114,20,333,-
133 ,0,33,29,0,30,33,0,8,8,83,38,35,0,20,12,22,351,52531
134 ,47,0,39,10,31,0,36,0,0,58,48,43,26,35,7,23,403,55380
135 ,43,21,45,0,33,17,0,10,45,33,125,80,82,43,52,54,683,67476
136 ,0,0,0,0,0,8,8,7,11,7,9,0,20,13,64,149,296,207813
137 ,14,0,0,6,0,0,0,0,0,8,73,34,32,5,25,39,236,82639
138 ,17,0,0,0,17,0,0,0,9,24,20,30,34,17,43,113,324,140357
139 ,32,3,0,7,0,0,0,30,32,13,17,15,7,111,31,91,389,136141
140 ,8,0,0,0,0,0,0,0,0,25,23,53,0,29,40,128,306,158750
141 ,59,60,59,9,67,43,40,36,0,0,34,38,40,16,18,6,525,30966
142 ,35,16,0,39,11,17,43,55,44,50,118,81,16,9,37,23,594,55333
143 ,0,8,38,8,15,0,0,60,0,25,33,24,0,41,7,6,265,51094
144 ,31,46,52,68,33,8,0,7,34,0,74,16,23,11,15,8,426,26212
145 ,25,0,11,0,0,0,9,6,0,31,24,17,41,29,70,57,320,120833
146 ,9,8,19,0,0,8,0,0,17,7,56,72,28,48,117,99,488,129352
147 ,50,0,7,0,0,0,7,0,25,11,17,46,34,65,39,142,443,140268
148 ,26,8,0,0,0,0,0,11,7,0,49,53,35,33,15,136,373,121806
149 ,42,14,31,57,90,16,13,7,52,7,35,101,20,25,27,13,550,45347
150 ,42,46,7,25,22,0,21,50,7,11,68,41,10,32,30,14,426,45000
151 ,0,0,0,8,9,23,0,0,0,7,27,58,30,34,41,58,295,110804
152 ,25,0,40,0,25,0,0,15,9,0,10,46,41,30,0,78,319,93618
