2010-2040 Household Income (Held constant in $2010) : Household Income,,
TAZ,HH_Inc,HHNUM
1062,54976.233,358.4
1063,58268.223,578.6
1064,36450.807,3076.6
1065,37886.511,3438.2
1066,56802.792,1345.6
1067,68362.191,1187.8
1068,65971.92,1216
1069,39106.419,1100.4
1070,66736.014,1568.6
1071,75736.689,1380.6
1072,61761.696,1394.8
1073,222706.977,1609.8
1074,0,1
1075,64758.618,212.4
1076,202167.822,2010.8
1077,29381.286,1532.4
1078,37625.574,1079.2
1079,60033.126,689.8
1080,101325.03,1192.4
1081,180700.524,4489.6
1082,132042.93,3466.8
1083,217937.445,1622.8
1084,80821.107,978.6
1085,137630.505,1563.6
1086,152971.839,1548.4
1087,68777.268,160.8
1088,74092.896,1042.4
1089,103528.131,1237
1090,63722.577,1761.4
1091,94823.625,1161.6
1092,72092.379,825
1093,67713.702,1506.2
1094,90399.807,2226.8
1095,21132.594,2636.8
1096,58089.861,508.4
1097,56542.956,563.8
1098,82929.522,182
1099,58871.571,937.4
1100,54240.765,2267.8
1101,92678.877,1723.2
1102,80075.73,1510.2
1103,77820.882,3210.4
1104,58702.017,1462
1105,54205.533,1761.2
1106,47391.444,969.6
1107,52657.527,1792.4
1108,50638.293,1525.4
1109,47148.123,1830.6
1110,44500.218,1814.4
1111,59474.919,1222.8
1112,32946.324,828.2
1113,37144.437,471
1114,58271.526,942.8
1115,25522.281,1751.2
1116,31916.889,1742
1117,68487.705,128.8
1118,23639.571,1127.2
1119,48857.976,1208.8
1120,43269.3,2719
1121,49385.355,1522.6
1122,31886.061,3042.2
1123,40534.416,1197.6
1124,46512.846,647.6
1125,49321.497,291.8
1126,50585.445,1247
1127,67199.535,1436.8
1128,34105.677,1480.4
1129,48779.805,2326.6
1130,67663.056,1804.4
1131,38420.496,2433.4
1132,47467.413,1268
1133,55667.661,1492.4
1134,57539.361,1713.8
1135,45942.528,1543.8
1136,40659.93,1358.6
1137,65805.669,1574.8
1138,53749.719,2668
1139,47618.25,3013
1140,40937.382,910.4
1141,49931.451,1437.2
1142,36887.904,1856
1143,48843.663,1229.8
1144,54053.595,545.4
1145,42995.151,1195.6
1146,41424.024,1192.6
1147,46040.517,1251
1148,41147.673,1366.8
1149,35883.792,1167.4
1150,43722.912,2592.6
1151,31083.432,1363.6
1152,36370.434,3043.4
1153,38527.293,1231.8
1154,33851.346,1678.8
1155,37926.147,1299.4
1156,40684.152,1886.2
1157,44935.113,1814.6
1158,42585.579,1259.2
1159,39613.98,1215.8
1160,45993.174,1290.2
1161,50398.275,2303.8
1162,43420.137,3371.6
1163,41165.289,1062.8
1164,41215.935,839.4
1165,45083.748,1309.2
1166,39991.623,2205
1167,0,2
1168,42400.611,1910.2
1169,48056.448,1439.8
1170,54551.247,4135.2
1171,37977.894,1896.2
1172,50730.777,1147.2
1173,52901.949,3540.2
1174,45531.855,2301.4
1175,47140.416,1739.4
1176,43029.282,3139
1177,34052.829,3571.2
1178,0,262.8
1179,31718.709,6425.6
1180,44302.038,1157.2
1181,51458.538,1971.6
1182,62824.161,1745.4
1183,33482.511,1847
1184,69063.528,598.4
1185,41398.701,1021.6
1186,56806.095,1117
1187,24455.412,1475.8
1188,39033.753,2638.2
1189,52481.367,2535.6
1190,50080.086,2207.8
1191,44424.249,2728
1192,44538.753,266.4
1193,40041.168,1428.6
1194,38179.377,1590.6
1195,42264.087,1628
1196,26073.882,2307
1197,45704.712,2020.8
1198,36490.443,4382.4
1199,117702.405,668.4
1200,104858.139,2966.2
1201,167404.848,1697.4
1202,109426.188,2569.6
1203,148826.574,1509.8
1204,122706.45,1665
1205,66466.269,1738.4
1206,44162.211,1484
1207,67602.501,1720.6
1208,67218.252,207.8
1209,75865.506,492
1210,106541.568,994.8
1211,104484.9,1093.6
1212,113200.416,1836
1213,138686.364,2677
1214,120130.11,1716.4
