TAZ,HHNUM,HHSIZE
1296,1590.8,1.986
1297,1121.4,2.526
1298,1596.8,2.466
1299,1368.2,2.316
1300,1398.2,2.308
1301,1822.4,2.318
1302,1428.2,2.496
1303,1221.8,2.326
1304,1509.6,2.308
1305,715.2,2.426
1306,2061.2,2.206
1307,1848.4,2.056
1308,1600,2.286
1309,1818.6,2.676
1310,1051.2,2.208
1311,2536.8,2.696
1312,1733.2,2.606
1313,1852.8,3.056
1314,1603,2.526
1315,1265,2.586
1316,1344,2.436
1317,2143.6,2.736
1318,1114.4,2.946
1319,1522.6,2.786
1320,2431.4,2.894
1321,1459.4,3.186
1322,6,1.978
1323,5625.4,2.736
1324,2820.8,2.486
1325,2998.4,2.456
1326,2620.4,2.756
1327,2725.6,2.706
1328,2227.2,2.646
